%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1658627667834279710,16921,1658627667799701202,gps,2,0,37.2406735,126.7741083,28.767,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627667934139684,16922,1658627667899701188,gps,2,0,37.2406752,126.7741094,28.784,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627668075807410,16923,1658627667999701175,gps,2,0,37.2406767,126.7741105,28.787,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627668233708202,16924,1658627668199701146,gps,2,0,37.2406799,126.7741127,28.789,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627668335559768,16925,1658627668299701132,gps,2,0,37.2406815,126.7741138,28.782,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627668465017853,16926,1658627668399701118,gps,2,0,37.2406831,126.7741149,28.793,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627668638115851,16927,1658627668599701090,gps,2,0,37.2406863,126.7741172,28.777,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627668737458063,16928,1658627668699701076,gps,2,0,37.2406879,126.7741184,28.775,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627668839584307,16929,1658627668799701062,gps,2,0,37.2406896,126.7741196,28.774,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627668935635696,16930,1658627668899701048,gps,2,0,37.2406911,126.7741207,28.764,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627669081314664,16931,1658627668999701035,gps,2,0,37.2406927,126.7741219,28.769,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627669234256839,16932,1658627669199701006,gps,2,0,37.2406958,126.774124,28.759,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627669337107952,16933,1658627669299700992,gps,2,0,37.2406974,126.7741253,28.745,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627669441733974,16934,1658627669399700978,gps,2,0,37.2406991,126.7741264,28.754,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
